score,flags,address,borough,zip,units,year_built,bldg_class,owner,per_door,market_value,value_basis,assessed_value_est,last_sale_price,last_sale_date,under_70k_door,low_rate_mtge_date,low_rate_mtge_amt,est_maturity_10yr,months_to_maturity,maturing_soon,lender,bbl,acris_mortgage_url,acris_parcel_url,pluto_url,lat,lon
22.6,maturing soon (est.),1420 AVENUE L,Brooklyn,11230,20,1926,C1,1420 AVENUE L LLC,58200,1164000,assessed/0.45,1164000,,,True,2020-05-19,496352.45,2030-05-19,46,True,"JPMORGAN CHASE BANK, N.A.",3067340009,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020052200180002,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=6734&lot=9,https://zola.planning.nyc.gov/l/lot/3/6734/9,40.6201330,-73.9606214
22.6,maturing soon (est.),615 OCEAN AVENUE,Brooklyn,11226,30,1926,D1,615 OCEAN AVE RLTY CORP,58100,1743000,assessed/0.45,1743000,,,True,2020-12-16,3209000.0,2030-12-16,53,True,"SABAL CAPITAL II, LLC",3051010061,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021010300053002,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=5101&lot=61,https://zola.planning.nyc.gov/l/lot/3/5101/61,40.6478606,-73.9601438
22.6,est. already matured; satisfaction recorded since,88-21 162 STREET,Queens,11432,22,1938,C1,PEJCINOVIC CORP,58136,1279000,assessed/0.45,1279000,,,True,2011-07-12,66889.67,2021-07-12,-60,False,"FLUSHING SAVINGS BANK, FSB",4097680019,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2011071800621002,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=4&block=9768&lot=19,https://zola.planning.nyc.gov/l/lot/4/9768/19,40.7078474,-73.7994936
22.5,no low-rate-era mortgage found,460 WEST 126 STREET,Manhattan,10027,40,1901,C4,"460 WEST 126TH ST. ASSOCIATES, L.P.",34950,1398000,assessed/0.45,1398000,,,True,,,,,False,,1019660102,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=1&block=1966&lot=102,https://zola.planning.nyc.gov/l/lot/1/1966/102,40.8133978,-73.9554242
22.5,no low-rate-era mortgage found,2458 GRAND AVENUE,Bronx,10468,47,1935,D1,24 REALTY CO,35021,1646000,assessed/0.45,1646000,,,True,,,,,False,,2032030007,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3203&lot=7,https://zola.planning.nyc.gov/l/lot/2/3203/7,40.8632175,-73.9026471
22.5,est. already matured; satisfaction recorded since,966 EAST 181 STREET,Bronx,10460,42,1915,D1,"DALY IV HOUSING DEVELOPMENT FUND COMPANY , INC.",58310,2449000,assessed/0.45,2449000,,,True,2013-12-19,1301133.13,2023-12-19,-31,False,NEW YORK CITY HOUSING DEVELOPMENT CORPORATION,2031330013,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2013123000182011,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3133&lot=13,https://zola.planning.nyc.gov/l/lot/2/3133/13,40.8442104,-73.8793990
22.5,maturing soon (est.); financed/sold since (may be refinanced),1842 ARTHUR AVENUE,Bronx,10457,20,1914,C1,AHC HOUSING DEVELOPMENT FUND CORPORATION,35000,700000,assessed/0.45,700000,,,True,2021-06-29,1010250.0,2031-06-29,59,True,CPC MORTGAGE COMPANY LLC,2029450023,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021071201501024,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=2945&lot=23,https://zola.planning.nyc.gov/l/lot/2/2945/23,40.8442687,-73.8939933
22.5,maturing soon (est.),2835 BAINBRIDGE AVENUE,Bronx,10458,37,1925,C1,BAINBRIDGE 2835 LLC,58324,2158000,assessed/0.45,2158000,,,True,2019-08-26,2065144.26,2029-08-26,37,True,"JPMORGAN CHASE BANK, N.A.",2032950053,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2019082901429001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3295&lot=53,https://zola.planning.nyc.gov/l/lot/2/3295/53,40.8683817,-73.8889545
22.5,maturing soon (est.),2973 BRIGGS AVENUE,Bronx,10458,21,1915,C1,2869-73 BRIGGS,58333,1225000,assessed/0.45,1225000,,,True,2019-12-13,3560000.0,2029-12-13,41,True,FIRST REPUBLIC BANK,2033030030,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021800389008,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3303&lot=30,https://zola.planning.nyc.gov/l/lot/2/3303/30,40.8716389,-73.8854273
22.5,no low-rate-era mortgage found,2436 WEBB AVENUE,Bronx,10468,20,1917,C1,"SAHMANOVIC, EDIN",35000,700000,recorded sale 2022-05-25,919000,700000,2022-05-25,True,,,,,False,,2032190088,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3219&lot=88,https://zola.planning.nyc.gov/l/lot/2/3219/88,40.8647547,-73.9061662
22.5,maturing soon (est.),675 EAST 234 STREET,Bronx,10466,42,1930,D1,675 NO MAS LLC,58310,2449000,assessed/0.45,2449000,,,True,2020-07-21,794974.64,2030-07-21,48,True,"PRUDENTIAL MULTIFAMILY MORTGAGE, LLC",2049950011,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020073100499003,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=4995&lot=11,https://zola.planning.nyc.gov/l/lot/2/4995/11,40.8946718,-73.8577717
22.5,est. already matured,2525 FRISBY AVENUE,Bronx,10461,20,1927,C1,TYFE REALTY LLC,58400,1168000,assessed/0.45,1168000,,,True,2012-07-31,800000.0,2022-07-31,-48,False,"JPMORGAN CHASE BANK, N.A.",2039850031,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2012082101246003,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3985&lot=31,https://zola.planning.nyc.gov/l/lot/2/3985/31,40.8404599,-73.8460877
22.5,maturing soon (est.),1135 HOE AVENUE,Bronx,10459,32,1925,C7,"1613 REALTY, LTD.",58375,1868000,assessed/0.45,1868000,,,True,2019-12-20,16300.0,2029-12-20,41,True,NYC DEPT OF HOUSING PRESERVATION & DEVELOPMENT,2027450046,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011000273005,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=2745&lot=46,https://zola.planning.nyc.gov/l/lot/2/2745/46,40.8270347,-73.8910904
